編號,案類,發生(現)日期,發生時段,發生(現)地點
451,住宅竊盜,1040929,04~06,台北市松山區三民路151~180號
452,住宅竊盜,1040930,10~12,台北市大安區虎嘯里敦化南路二段200巷14弄1~30號
453,住宅竊盜,1040930,10~12,台北市內湖區瑞光路258巷31~60號
454,住宅竊盜,1040930,10~12,台北市南港區鴻福里玉成街235巷1~30號
455,住宅竊盜,1040930,22~24,台北市中山區天祥路47巷1~30號
456,住宅竊盜,1041001,22~24,台北市士林區三玉里7鄰德行東路219巷1~30號
457,住宅竊盜,1041002,07~09,台北市中山區民生西路45巷5弄1~30號
458,住宅竊盜,1041002,16~18,台北市萬華區大理街160巷22弄1~30號
459,住宅竊盜,1041002,19~21,台北市萬華區西園路二段261巷34弄31~60號
460,住宅竊盜,1041003,07~09,台北市內湖區內湖路二段91~120號
461,住宅竊盜,1041003,07~09,台北市萬華區西寧南路121~150號
462,住宅竊盜,1041003,10~12,台北市萬華區環河南路2段130巷
463,住宅竊盜,1041003,22~24,台北市中山區中山北路二段121~150號
464,住宅竊盜,1041005,07~09,台北市松山區八德路四段245巷32弄31~60號
465,住宅竊盜,1041005,07~09,台北市松山區民生東路五段137巷4弄1~30號
466,住宅竊盜,1041005,22~24,台北市信義區黎平里富陽街87巷1~30號
467,住宅竊盜,1041006,01~03,台北市大同區老師里重慶北路三段334巷15弄1~30號
468,住宅竊盜,1041006,10~12,台北市萬華區西園路二段320巷36弄1~30號
469,住宅竊盜,1041007,01~03,台北市中山區龍江路370巷31~60號
470,住宅竊盜,1041007,13~15,台北市文山區景行里景興路241~270號
471,住宅竊盜,1041007,13~15,台北市北投區清江里大興街24巷2弄1~30號
472,住宅竊盜,1041007,13~15,台北市信義區惠安里吳興街506巷1~30號
473,住宅竊盜,1041009,19~21,台北市萬華區成都路91~120號
474,住宅竊盜,1041011,16~18,台北市信義區雅祥里松信路31~60號
475,住宅竊盜,1041011,22~24,台北市內湖區內湖路一段91巷151~180號
476,住宅竊盜,1041011,22~24,台北市中正區林興里水源路1 ~ 30號
477,住宅竊盜,1041013,07~09,台北市文山區樟腳里9鄰恆光街30巷1~30號
478,住宅竊盜,1041013,07~09,台北市松山區撫遠街403巷1~30號
479,住宅竊盜,1041013,13~15,台北市信義區五全里永吉路200巷41弄1~30號
480,住宅竊盜,1041016,10~12,台北市士林區天玉里天母西路31~60號
481,住宅竊盜,1041018,04~06,台北市中正區忠勤里汀州路一段92巷1~30號
482,住宅竊盜,1041018,07~09,台北市萬華區富福里大理街1~30號
483,住宅竊盜,1041019,01~03,台北市萬華區昆明路121~150號
484,住宅竊盜,1041019,13~15,台北市中正區河堤里汀州路二段151~180號
485,住宅竊盜,1041020,01~03,台北市大同區南芳里安西街91巷1~30號
486,住宅竊盜,1041020,07~09,台北市大同區延平里安西街91巷1~30號
487,住宅竊盜,1041020,07~09,台北市萬華區中華路二段416巷61~90號
488,住宅竊盜,1041020,13~15,台北市大安區復興南路126巷1~30號
489,住宅竊盜,1041021,07~09,台北市信義區三犁里03鄰松仁路253巷01弄1~30號
490,住宅竊盜,1041021,19~21,台北市士林區福中里福港街121~150號
491,住宅竊盜,1041021,22~24,台北市中正區水源里羅斯福路四段40巷1~30號
492,住宅竊盜,1041023,07~09,台北市松山區南京東路五段291巷5弄1~30號
493,住宅竊盜,1041023,13~15,台北市北投區振華里懷德街98巷1~30號
494,住宅竊盜,1041023,16~18,台北市中正區螢雪里詔安街61 ~ 90號
495,住宅竊盜,1041023,16~18,台北市中正區螢雪里詔安街61 ~ 90號
496,住宅竊盜,1041023,16~18,台北市中正區螢雪里詔安街61 ~ 90號
497,住宅竊盜,1041023,19~21,台北市中正區螢雪里詔安街61 ~ 90號
498,住宅竊盜,1041023,19~21,台北市中正區螢雪里詔安街61 ~ 90號
499,住宅竊盜,1041023,19~21,台北市中正區螢雪里詔安街61 ~ 90號
500,住宅竊盜,1041023,19~21,台北市中正區螢雪里詔安街61 ~ 90號
501,住宅竊盜,1041024,07~09,台北市中正區南門里博愛路230巷1~30號
502,住宅竊盜,1041026,10~12,台北市南港區聯成里忠孝東路六段278巷22弄1~30號
503,住宅竊盜,1041026,19~21,台北市中山區吉林路161巷1~30號
504,住宅竊盜,1041026,19~21,台北市中山區吉林路161巷1~30號
505,住宅竊盜,1041027,10~12,台北市士林區聖山里忠誠路一段171巷10弄1~30號
506,住宅竊盜,1041027,22~24,台北市士林區福佳里文林路495巷1~30號
507,住宅竊盜,1041029,07~09,台北市松山區民生東路五段69巷1弄31~60號
508,住宅竊盜,1041030,10~12,台北市內湖區民權東路六段481~510號
509,住宅竊盜,1041030,19~21,台北市中山區遼寧街185巷7弄1~30號
510,住宅竊盜,1041030,19~21,台北市信義區松友里虎林街241~270號
511,住宅竊盜,1041031,19~21,台北市中山區龍江路356巷1~30號
512,住宅竊盜,1041101,07~09,台北市信義區和平東路三段631巷1~30號
513,住宅竊盜,1041103,22~24,台北市中山區堤頂大道二段451~480號
514,住宅竊盜,1041103,22~24,台北市南港區東明里東明街61~90號
515,住宅竊盜,1041104,10~12,台北市士林區平等里平菁街43巷16弄1~30號
516,住宅竊盜,1041105,10~12,台北市北投區承德路七段232巷1~30號
517,住宅竊盜,1041107,04~06,台北市信義區興隆里逸仙路32巷1~30號
518,住宅竊盜,1041109,16~18,台北市中山區雙城街32巷1~30號
519,住宅竊盜,1041109,16~18,台北市內湖區樂康里24鄰安泰街1~30號
520,住宅竊盜,1041109,22~24,台北市士林區明勝里承德路四段33巷1~30號
521,住宅竊盜,1041109,22~24,台北市南港區重陽路125巷1~30號
522,住宅竊盜,1041111,10~12,台北市中山區南京東路三段48巷31~60號
523,住宅竊盜,1041111,13~15,台北市文山區興豐里5鄰興隆路一段241~270號
524,住宅竊盜,1041112,19~21,台北市士林區天山里中山北路七段14巷31~60號
525,住宅竊盜,1041112,19~21,台北市大同區保安里庫倫街31~60號
526,住宅竊盜,1041113,10~12,台北市內湖區康寧路三段165巷25弄1~30號
527,住宅竊盜,1041114,22~24,台北市大安區延吉街241巷1~30號
528,住宅竊盜,1041115,16~18,台北市文山區萬芳里028鄰萬美街1段19巷1 ~ 30號
529,住宅竊盜,1041115,19~21,台北市中山區中山北路二段93巷1~30號
530,住宅竊盜,1041116,01~03,台北市松山區南京東路五段251巷46弄1~30號
531,住宅竊盜,1041116,07~09,台北市大安區龍泉里雲和街91~120號
532,住宅竊盜,1041116,13~15,台北市內湖區新明路298巷1~30號
533,住宅竊盜,1041116,13~15,台北市萬華區青年路31~60號
534,住宅竊盜,1041117,01~03,台北市中正區龍興里南海路61~90號
535,住宅竊盜,1041117,10~12,台北市南港區合成里忠孝東路六段271~300號
536,住宅竊盜,1041117,19~21,台北市信義區泰和里吳興街583巷20弄1~30號
537,住宅竊盜,1041118,13~15,台北市中山區錦州街241巷1弄1~30號
538,住宅竊盜,1041118,22~24,台北市中山區中山北路四段1~30號
539,住宅竊盜,1041121,10~12,台北市中山區新生北路二段141巷1~30號
540,住宅竊盜,1041122,04~06,台北市大安區敦安里9鄰安和路一段102巷1~30號
541,住宅竊盜,1041122,19~21,台北市文山區興得里15鄰興隆路三段112巷4弄1~30號
542,住宅竊盜,1041123,07~09,台北市內湖區麗山街393巷1~30號
543,住宅竊盜,1041123,13~15,台北市松山區民生東路五段69巷1弄31~60號
544,住宅竊盜,1041124,07~09,台北市士林區東山里德行東路393巷1~30號
545,住宅竊盜,1041125,01~03,台北市內湖區五分里8鄰東湖路106巷7弄1~30號
546,住宅竊盜,1041125,22~24,台北市中正區忠勤里南海路93巷1~30號
547,住宅竊盜,1041126,16~18,台北市中正區三愛里臨沂街69巷7弄1~30號
548,住宅竊盜,1041128,10~12,台北市內湖區民權東路六段180巷55弄1~30號
549,住宅竊盜,1041128,19~21,台北市大同區鄰江里18鄰重慶北路三段236巷31~60號
550,住宅竊盜,1041129,10~12,台北市士林區義信里2鄰大東路1~30號
551,住宅竊盜,1041129,10~12,台北市松山區南京東路四段52巷1~30號
552,住宅竊盜,1041129,19~21,台北市士林區天玉里天母北路4巷1~30號
553,住宅竊盜,1041130,10~12,台北市文山區興得里興隆路三段112巷4弄1~30號
554,住宅竊盜,1041201,07~09,台北市大同區揚雅里昌吉街61巷1~30號
555,住宅竊盜,1041201,10~12,台北市大安區黎元里安居街81巷1~30號
556,住宅竊盜,1041201,22~24,台北市信義區國業里松山路540巷3弄31 ~ 60號
557,住宅竊盜,1041202,07~09,台北市中山區雙城街28巷1~30號
558,住宅竊盜,1041203,04~06,台北市內湖區民權東路六段121~150號
559,住宅竊盜,1041203,04~06,台北市北投區榮光里石牌路一段166巷61~90號
560,住宅竊盜,1041203,10~12,台北市中山區吉林路241~270號
561,住宅竊盜,1041203,10~12,台北市北投區湖山里湖底路1~30號
562,住宅竊盜,1041204,10~12,台北市大安區光信里仁愛路四段301~330號
563,住宅竊盜,1041204,10~12,台北市松山區南京東路五段361~390號
564,住宅竊盜,1041205,22~24,台北市中山區新生北路二段41巷31~60號
565,住宅竊盜,1041206,07~09,台北市士林區福順里4鄰重慶北路四段61~90號
566,住宅竊盜,1041206,16~18,台北市士林區福志里忠勇街31~60號
567,住宅竊盜,1041207,19~21,台北市松山區南京東路四段1~30號
568,住宅竊盜,1041208,07~09,台北市大安區古風里泰順街1~30號
569,住宅竊盜,1041208,16~18,台北市士林區富光里葫蘆街47巷1~30號
570,住宅竊盜,1041208,22~24,台北市文山區景仁里羅斯福路六段91~120號
571,住宅竊盜,1041209,07~09,台北市中正區林興里羅斯福路三段121~150號
572,住宅竊盜,1041209,13~15,台北市內湖區康樂街76巷1~30號
573,住宅竊盜,1041210,16~18,台北市大安區正聲里光復南路346巷1~30號
574,住宅竊盜,1041211,07~09,台北市大安區昌隆里忠孝東路三段211~240號
575,住宅竊盜,1041211,19~21,台北市大同區斯文里承德路三段91~120號
576,住宅竊盜,1041212,04~06,台北市中山區龍江路229巷1~30號
577,住宅竊盜,1041212,04~06,台北市中山區龍江路229巷1~30號
578,住宅竊盜,1041212,10~12,台北市士林區社子里社正路45巷29弄1~30號
579,住宅竊盜,1041212,10~12,台北市松山區八德路三段12巷53弄1~30號
580,住宅竊盜,1041213,22~24,台北市信義區永吉里中坡北路43巷1~30號
581,住宅竊盜,1041214,16~18,台北市大安區群賢里和平東路三段1~30號
582,住宅竊盜,1041215,07~09,台北市中山區民權東路二段113巷1弄1~30號
583,住宅竊盜,1041215,22~24,台北市大安區仁愛里敦化南路一段270巷1~30號
584,住宅竊盜,1041216,10~12,台北市松山區南京東四段1~30號
585,住宅竊盜,1041216,13~15,台北市內湖區西湖里環山路一段59巷10弄1~30號
586,住宅竊盜,1041217,13~15,台北市士林區福中里通河東街一段136巷1~30號
587,住宅竊盜,1041219,07~09,台北市中山區林森北路119巷1~30號
588,住宅竊盜,1041219,22~24,台北市士林區福順里重慶北路四段49巷15弄31~60號
589,住宅竊盜,1041219,22~24,台北市中山區吉林路271~300號
590,住宅竊盜,1041220,10~12,台北市松山區光復北路230巷31~60號
591,住宅竊盜,1041220,10~12,台北市松山區健康路391~420號
592,住宅竊盜,1041220,10~12,台北市北投區立農里立農街1段22巷2弄1 ~ 30號
593,住宅竊盜,1041220,16~18,台北市大安區黎孝里安居街46巷1~30號
594,住宅竊盜,1041220,19~21,台北市信義區松友里信義路六段76巷8弄1~30號
595,住宅竊盜,1041221,10~12,台北市中正區網溪里同安街86巷1~30號
596,住宅竊盜,1041221,19~21,台北市內湖區東湖路113巷1~30號
597,住宅竊盜,1041221,22~24,台北市內湖區星雲路15巷18弄1~30號
598,住宅竊盜,1041222,04~06,台北市信義區中興里信義路四段361~390號
599,住宅竊盜,1041222,07~09,台北市萬華區富民路91~120號
600,住宅竊盜,1041222,07~09,台北市萬華區富民路91~120號
601,住宅竊盜,1041222,07~09,台北市萬華區富民路91~120號
602,住宅竊盜,1041222,10~12,台北市中正區網溪里廈門街99巷1~30號
603,住宅竊盜,1041222,10~12,台北市萬華區富民路91~120號
604,住宅竊盜,1041222,10~12,台北市萬華區富民路91~120號
605,住宅竊盜,1041223,01~03,台北市大同區至聖里重慶北路三段257巷1~30號
606,住宅竊盜,1041223,07~09,台北市萬華區長泰街1~30號
607,住宅竊盜,1041223,16~18,台北市士林區天母里中山北路七段219巷1~30號
608,住宅竊盜,1041223,19~21,台北市中正區網溪里廈門街99巷1~30號
609,住宅竊盜,1041224,10~12,台北市北投區立賢里尊賢街241~270號
610,住宅竊盜,1041224,13~15,台北市萬華區西園路一段241~270號
611,住宅竊盜,1041225,16~18,台北市士林區天和里中山北路七段14巷63弄1~30號
612,住宅竊盜,1041225,16~18,台北市中正區板溪里汀州路二段127巷1~30號
613,住宅竊盜,1041225,19~21,台北市內湖區康寧路一段173巷1~30號
614,住宅竊盜,1041226,10~12,台北市松山區塔悠路1~30號
615,住宅竊盜,1041226,22~24,台北市南港區九如里研究院路三段10巷1~30號
616,住宅竊盜,1041228,04~06,台北市內湖區麗山街348巷10弄1~30號
617,住宅竊盜,1041228,13~15,台北市中正區光復里漢口街一段80巷1~30號
618,住宅竊盜,1041228,16~18,台北市信義區雅祥市民大路六段1~30號
619,住宅竊盜,1041229,16~18,台北市士林區後港里14鄰承德路四段301~330號
620,住宅竊盜,1041229,22~24,台北市北投區立賢里尊賢街211~240號
621,住宅竊盜,1041230,04~06,台北市萬華區梧州街46巷10弄1~30號
622,住宅竊盜,1041230,04~06,台北市萬華區萬大路486巷1~30號
623,住宅竊盜,1041231,13~15,台北市大安區全安里5鄰和平東路三段91~120號
624,住宅竊盜,1041231,22~24,台北市文山區景興路275巷1~30號
625,住宅竊盜,1050101,01~03,台北市文山區木新里21鄰保儀路109巷1~30號
626,住宅竊盜,1050101,19~21,台北市松山區濱江街430巷1~30號
627,住宅竊盜,1050101,22~24,台北市中山區錦州街31~60號
628,住宅竊盜,1050101,22~24,台北市士林區中山北路7段14巷61 ~ 90號
629,住宅竊盜,1050101,22~24,台北市內湖區康樂街110巷16弄1 ~ 30號
630,住宅竊盜,1050102,10~12,台北市中正區龍興里三元街1 ~ 30號
631,住宅竊盜,1050102,16~18,台北市中山區松江路235巷1~30號
632,住宅竊盜,1050102,19~21,台北市中正區愛國西路1~30號
633,住宅竊盜,1050103,13~15,台北市信義區興隆里逸仙路50巷1~30號
634,住宅竊盜,1050103,16~18,台北市大安區錦華里杭州南路二段93巷1~30號
635,住宅竊盜,1050103,19~21,台北市中山區新生北路二段58巷1~30號
636,住宅竊盜,1050104,07~09,台北市內湖區康樂街136巷29弄31~60號
637,住宅竊盜,1050104,19~21,台北市大安區虎嘯里敦化南路二段151~180號
638,住宅竊盜,1050104,22~24,台北市松山區南京東路五段251巷46弄1~30號
639,住宅竊盜,1050105,13~15,台北市內湖區康寧路一段301~330號
640,住宅竊盜,1050106,01~03,台北市文山區順興里9鄰木新路二段158巷1弄1~30號
641,住宅竊盜,1050106,10~12,台北市中正區南福里寧波西街1~30號
642,住宅竊盜,1050107,13~15,台北市士林區蘭興里德行東路1~30號
643,住宅竊盜,1050107,16~18,台北市士林區蘭興里德行東路1~30號
644,住宅竊盜,1050107,19~21,台北市信義區五常里永吉路181~210號
645,住宅竊盜,1050108,22~24,台北市文山區萬隆里羅斯福路五段211~240號
646,住宅竊盜,1050109,22~24,台北市南港區鴻福里玉成街241~270號
647,住宅竊盜,1050110,04~06,台北市文山區萬盛里萬盛街91~120號
648,住宅竊盜,1050110,07~09,台北市北投區奇岩里公館路85巷2弄1~30號
649,住宅竊盜,1050110,16~18,台北市內湖區康樂街136巷30弄1~30號
650,住宅竊盜,1050110,19~21,台北市松山區南京東路五段250巷2弄1~30號
651,住宅竊盜,1050111,16~18,台北市士林區葫蘆里延平北路五段241~270號
652,住宅竊盜,1050111,16~18,台北市萬華區康定路1~30號
653,住宅竊盜,1050111,19~21,台北市士林區蘭雅里德行東路1~30號
654,住宅竊盜,1050112,07~09,台北市士林區天和里天母東路91巷1~30號
655,住宅竊盜,1050113,04~06,台北市內湖區康樂街220巷2弄1~30號
656,住宅竊盜,1050113,10~12,台北市大同區至聖里民族西路187巷1~30號
657,住宅竊盜,1050113,16~18,台北市北投區承德路七段361~390號
658,住宅竊盜,1050113,22~24,台北市南港區九如里研究院路三段10巷1~30號
659,住宅竊盜,1050114,10~12,台北市大同區雙連里重慶北路二段2巷151~180號
660,住宅竊盜,1050114,22~24,台北市中山區明水路541~570號
661,住宅竊盜,1050115,07~09,台北市南港區合成里忠孝東路六段61~90號
662,住宅竊盜,1050115,10~12,台北市文山區忠順里14鄰興隆路四段145巷83弄1~30號
663,住宅竊盜,1050116,10~12,台北市內湖區金湖路331~360號
664,住宅竊盜,1050116,16~18,台北市北投區開明里復興四路1~30號
665,住宅竊盜,1050117,13~15,台北市大安區民輝里八德路2段10巷1 ~ 30號
666,住宅竊盜,1050118,19~21,台北市內湖區金湖路1~30號
667,住宅竊盜,1050119,01~03,台北市中山區北安路630巷9弄1~30號
668,住宅竊盜,1050119,13~15,台北市大同區寧夏路121~150號
669,住宅竊盜,1050119,16~18,台北市文山區興得里興隆路三段31~60號
670,住宅竊盜,1050120,07~09,台北市萬華區莒光路271~300號
671,住宅竊盜,1050120,10~12,台北市大安區義安里敦化南路2段81巷31~60號
672,住宅竊盜,1050121,13~15,台北市士林區陽明里凱旋路61~90號
673,住宅竊盜,1050122,16~18,台北市松山區南京東路五段291巷6弄1~30號
674,住宅竊盜,1050122,22~24,台北市北投區智仁里中和街481~510號
675,住宅竊盜,1050123,07~09,台北市信義區雙和里吳興街284巷24弄61~90號
676,住宅竊盜,1050124,13~15,台北市文山區興昌里辛亥路四段101巷140弄1~30號
677,住宅竊盜,1050124,19~21,台北市中山區民生西路45巷9弄1~30號
678,住宅竊盜,1050125,07~09,台北市內湖區安康路434巷20弄1~30號
679,住宅竊盜,1050125,10~12,台北市大安區黎和里和平東路三段416巷25弄1~30號
680,住宅竊盜,1050125,10~12,台北市北投區中庸里雙全街62巷1~30號
681,住宅竊盜,1050125,10~12,台北市中正區黎明里重慶南路一段1~30號
682,住宅竊盜,1050126,07~09,台北市士林區百齡里8鄰福港街259巷1~30號
683,住宅竊盜,1050126,16~18,台北市松山區三民路96巷1~30號
684,住宅竊盜,1050127,13~15,台北市北投區立賢里實踐街5巷1~30號
685,住宅竊盜,1050128,13~15,台北市內湖區碧山里7鄰內湖路三段60巷12弄61~90號
686,住宅竊盜,1050128,19~21,台北市士林區福順里延平北路五段121~150號
687,住宅竊盜,1050129,04~06,台北市內湖區新明路380巷6弄1~30號
688,住宅竊盜,1050129,13~15,台北市北投區中央里中正街49巷31弄31~60號
689,住宅竊盜,1050129,16~18,台北市松山區南京東路五段291巷19弄31~60號
690,住宅竊盜,1050129,22~24,台北市內湖區文德路208巷6弄1~30號
691,住宅竊盜,1050130,10~12,台北市大安區黎孝里和平東路三段271~300號
692,住宅竊盜,1050130,22~24,台北市信義區忠孝東路四段481~510號
693,住宅竊盜,1050131,10~12,台北市中山區民權東路三段61~90號
694,住宅竊盜,1050131,22~24,台北市中山區林森北路107巷31~60號
695,住宅竊盜,1050201,19~21,台北市松山區南京東路五段181~210號
696,住宅竊盜,1050202,19~21,台北市南港區九如里研究院路三段10巷1~30號
697,住宅竊盜,1050203,04~06,台北市大同區玉泉里西寧北路86巷1~30號
698,住宅竊盜,1050203,07~09,台北市中山區新生北路三段87巷1~30號
699,住宅竊盜,1050203,10~12,台北市松山區南京東路五段389巷11弄1~30號
700,住宅竊盜,1050203,19~21,台北市南港區仁福里福德街373巷31~60號
701,住宅竊盜,1050204,13~15,台北市文山區萬隆里萬隆街61~90號
702,住宅竊盜,1050205,07~09,台北市中山區新生北路二段127巷31~60號
703,住宅竊盜,1050205,16~18,台北市士林區天壽里中山北路六段441巷1~30號
704,住宅竊盜,1050207,07~09,台北市中山區中山北路一段33巷1~30號
705,住宅竊盜,1050207,16~18,台北市大安區錦安里麗水街17巷1~30號
706,住宅竊盜,1050208,19~21,台北市大安區臨江里5鄰通化街123巷31~60號
707,住宅竊盜,1050209,10~12,台北市內湖區成功路二段250巷1~30號
708,住宅竊盜,1050209,22~24,台北市大安區通安里17鄰通化街170巷1~30號
709,住宅竊盜,1050210,07~09,台北市萬華區大理街160巷23弄1~30號
710,住宅竊盜,1050210,07~09,台北市松山區精忠里民生東路四段55巷1~30號
711,住宅竊盜,1050210,13~15,台北市士林區福中里12鄰通河東街一段124巷1~30號
712,住宅竊盜,1050210,19~21,台北市士林區天和里中山北路七段114巷61弄1~30號
713,住宅竊盜,1050211,10~12,台北市中山區民生東路二段147巷5弄1~30號
714,住宅竊盜,1050212,01~03,台北市士林區福林里10鄰中山北路五段280巷1~30號
715,住宅竊盜,1050212,16~18,台北市萬華區三水街61~90號
716,住宅竊盜,1050213,19~21,台北市信義區正和里光復南路421巷91~120號
717,住宅竊盜,1050214,19~21,台北市南港區東新里向陽路120巷2弄1~30號
718,住宅竊盜,1050217,01~03,台北市中正區水源里羅斯福路四段52巷16弄1~30號
719,住宅竊盜,1050217,10~12,台北市中山區吉林路199巷1~30號
720,住宅竊盜,1050217,16~18,台北市北投區吉利里石牌路一段39巷120弄1~30號
721,住宅竊盜,1050218,01~03,台北市中山區農安街1~30號
722,住宅竊盜,1050218,01~03,台北市中山區民權東路二段152巷6弄1~30號
723,住宅竊盜,1050219,13~15,台北市松山區市民大道五段121~150號
724,住宅竊盜,1050219,16~18,台北市中山區伊通街99巷15之1~30號
725,住宅竊盜,1050220,01~03,台北市士林區福順里重慶北路四段61~90號
726,住宅竊盜,1050220,07~09,台北市內湖區港富里18鄰內湖路一段737巷91~120號
727,住宅竊盜,1050220,19~21,台北市萬華區大理街159巷3弄1~30號
728,住宅竊盜,1050221,07~09,台北市萬華區萬大路277巷31~60號
729,住宅竊盜,1050222,10~12,台北市萬華區萬大路486巷37弄1~30號
730,住宅竊盜,1050223,04~06,台北市中正區愛國里9鄰延平南路258巷1~30號
731,住宅竊盜,1050223,13~15,台北市北投區福興里自強街5巷91~120號
732,住宅竊盜,1050224,13~15,台北市士林區後港里大南路391~420號
733,住宅竊盜,1050225,10~12,台北市文山區辛亥路六段31~60號
734,住宅竊盜,1050225,22~24,台北市內湖區新明路219巷2弄1~30號
735,住宅竊盜,1050226,07~09,台北市中正區文盛里羅斯福路三段316巷9弄1~30號
736,住宅竊盜,1050226,10~12,台北市大安區正聲里仁愛路四段391~420號
737,住宅竊盜,1050227,10~12,台北市萬華區中華路2段364巷1 ~ 30號
738,住宅竊盜,1050227,19~21,台北市萬華區中華路二段416巷61~90號
739,住宅竊盜,1050228,16~18,台北市中山區新生北路二段27巷1~30號
740,住宅竊盜,1050301,10~12,台北市松山區東新街54巷1~30號
741,住宅竊盜,1050302,13~15,台北市大同區市民大道一段181~210號
742,住宅竊盜,1050303,01~03,台北市士林區社新里6鄰社子街31~60號
743,住宅竊盜,1050303,07~09,台北市北投區吉慶里承德路七段164巷1~30號
744,住宅竊盜,1050304,07~09,台北市中山區民族東路31~60號
745,住宅竊盜,1050304,10~12,台北市北投區開明里復興四路8巷1~30號
746,住宅竊盜,1050305,22~24,台北市士林區天壽里16鄰天母西路31~60號
747,住宅竊盜,1050306,01~03,台北市大同區至聖里大龍街241 ~ 270號
748,住宅竊盜,1050306,10~12,台北市中山區龍江路295巷1~30號
749,住宅竊盜,1050307,16~18,台北市內湖區內湖路二段301~330號
750,住宅竊盜,1050307,22~24,台北市大安區建倫里22鄰忠孝東路四段170巷17弄1~30號
751,住宅竊盜,1050308,01~03,台北市文山區景慶里景福街242巷1~30號
752,住宅竊盜,1050308,10~12,台北市中正區南福里羅斯福路一段90巷1~30號
753,住宅竊盜,1050308,13~15,台北市內湖區新富街31~60號
754,住宅竊盜,1050310,13~15,台北市萬華區大理街31~60號
755,住宅竊盜,1050310,16~18,台北市大安區光武里24鄰復興南路一段135巷1~30號
756,住宅竊盜,1050311,01~03,台北市士林區社新里社子街112巷20弄1~30號
757,住宅竊盜,1050311,01~03,台北市士林區社新里19鄰社子街22巷65弄1~30號
758,住宅竊盜,1050312,01~03,台北市松山區寶清街1~30號
759,住宅竊盜,1050313,07~09,台北市松山區南京東路五段251巷22弄31~60號
760,住宅竊盜,1050314,16~18,台北市士林區蘭興里德行西路93巷6弄1~30號
761,住宅竊盜,1050314,16~18,台北市信義區六合里信義路五段150巷391~420號
762,住宅竊盜,1050314,19~21,台北市中山區錦州街31~60號
763,住宅竊盜,1050314,19~21,台北市中山區林森北路391~420號
764,住宅竊盜,1050314,22~24,台北市中山區市民大道三段121~150號
765,住宅竊盜,1050315,13~15,台北市中山區中山北路一段33巷31~60號
766,住宅竊盜,1050316,07~09,台北市士林區永福里莊頂路91~120號
767,住宅竊盜,1050316,19~21,台北市北投區開明里中和街278巷13樓
768,住宅竊盜,1050317,07~09,台北市中正區南福里羅斯福路二段8巷14弄1~30號
769,住宅竊盜,1050318,07~09,台北市大安區群賢里和平東路2段301 ~ 330號
770,住宅竊盜,1050318,22~24,台北市中山區林森北路391~420號
771,住宅竊盜,1050320,13~15,台北市中正區水源里汀州路三段230巷25弄1~30號
772,住宅竊盜,1050320,16~18,台北市中山區中山北路一段33巷20弄1~30號
773,住宅竊盜,1050321,10~12,台北市士林區天母里天母北路87巷2弄1~30號
774,住宅竊盜,1050321,22~24,台北市中山區中山北路二段137巷24之1~30號
775,住宅竊盜,1050322,16~18,台北市大安區建倫里安和路一段31~60號
776,住宅竊盜,1050323,01~03,台北市士林區天祿里士東路91巷1~30號
777,住宅竊盜,1050323,22~24,台北市中正區頂東里羅斯福路三段58巷1~30號
778,住宅竊盜,1050324,19~21,台北市中山區長春路91~120號
779,住宅竊盜,1050325,01~03,台北市內湖區內湖路一段411巷1~30號
780,住宅竊盜,1050328,19~21,台北市萬華區長泰街241~270號
781,住宅竊盜,1050328,22~24,台北市大安區德安里敦化南路1段331 ~ 360號
782,住宅竊盜,1050330,10~12,台北市內湖區文德路22巷16弄1~30號
783,住宅竊盜,1050330,22~24,台北市北投區中庸里大業路691 ~ 720號
784,住宅竊盜,1050331,22~24,台北市士林區臨溪里至善路二段323巷1~30號
785,住宅竊盜,1050401,16~18,台北市萬華區頂碩里7鄰大埔街1~30號
786,住宅竊盜,1050401,22~24,台北市信義區永吉里松山路151~180號
787,住宅竊盜,1050402,19~21,台北市信義區大道里中坡南路1~30號
788,住宅竊盜,1050403,13~15,台北市萬華區青年路31~60號
789,住宅竊盜,1050403,13~15,台北市萬華區青年路31~60號
790,住宅竊盜,1050403,16~18,台北市北投區榮華里富貴一路1巷1~30號
791,住宅竊盜,1050403,19~21,台北市萬華區廣州街61~90號
792,住宅竊盜,1050404,07~09,台北市北投區中央里中央南路一段102巷1~30號
793,住宅竊盜,1050404,10~12,台北市北投區石牌里明德路67巷1~30號
794,住宅竊盜,1050405,22~24,台北市大安區錦泰里7鄰杭州南路二段61巷1~30號
795,住宅竊盜,1050406,16~18,台北市大同區景星里迪化街2段61 ~ 90號
796,住宅竊盜,1050407,07~09,台北市文山區興旺里10鄰福興路4巷7弄1~30號
797,住宅竊盜,1050407,10~12,台北市中正區南門里延平南路181~210號
798,住宅竊盜,1050407,13~15,台北市大同區蓬萊里大龍街181~210號
799,住宅竊盜,1050408,13~15,台北市大同區光能里寧夏路31~60號
800,住宅竊盜,1050408,19~21,台北市南港區舊莊里合順街8巷5弄31~60號
801,住宅竊盜,1050408,19~21,台北市松山區民生東路三段112巷7弄1~30號
802,住宅竊盜,1050409,19~21,台北市萬華區新和里19鄰中華路二段416巷61~90號
803,住宅竊盜,1050410,01~03,台北市文山區華興里24鄰富山路1~30號
804,住宅竊盜,1050410,16~18,台北市松山區南京東路五段391~420號
805,住宅竊盜,1050410,22~24,台北市內湖區康寧路三段99巷10弄1~30號
